timestamp,week,query,theme,surface,cited,cited_url,citation_position,competitors_cited
2026-05-13T23:47:32Z,2026-W20,how to write a demand letter California,demand-letters,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,how to write a demand letter California,demand-letters,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,how to write a demand letter California,demand-letters,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,how to write a demand letter California,demand-letters,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,demand letter for unpaid invoice California,demand-letters,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,demand letter for unpaid invoice California,demand-letters,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,demand letter for unpaid invoice California,demand-letters,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,demand letter for unpaid invoice California,demand-letters,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,demand letter for money owed California,demand-letters,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,demand letter for money owed California,demand-letters,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,demand letter for money owed California,demand-letters,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,demand letter for money owed California,demand-letters,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,how much does a demand letter cost,demand-letters,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,how much does a demand letter cost,demand-letters,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,how much does a demand letter cost,demand-letters,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,how much does a demand letter cost,demand-letters,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,flat fee demand letter California,demand-letters,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,flat fee demand letter California,demand-letters,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,flat fee demand letter California,demand-letters,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,flat fee demand letter California,demand-letters,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist letter California,cease-and-desist,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist letter California,cease-and-desist,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,cease and desist letter California,cease-and-desist,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,cease and desist letter California,cease-and-desist,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,trademark cease and desist letter how it works,cease-and-desist,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,trademark cease and desist letter how it works,cease-and-desist,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,trademark cease and desist letter how it works,cease-and-desist,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,trademark cease and desist letter how it works,cease-and-desist,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,trademark infringement cease and desist California,cease-and-desist,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,trademark infringement cease and desist California,cease-and-desist,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,trademark infringement cease and desist California,cease-and-desist,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,trademark infringement cease and desist California,cease-and-desist,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist letter for harassment California,cease-and-desist,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist letter for harassment California,cease-and-desist,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,cease and desist letter for harassment California,cease-and-desist,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,cease and desist letter for harassment California,cease-and-desist,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,Amazon seller counterfeit product California what to do,ecommerce-ip,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,Amazon seller counterfeit product California what to do,ecommerce-ip,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,Amazon seller counterfeit product California what to do,ecommerce-ip,claude,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,Amazon seller counterfeit product California what to do,ecommerce-ip,google_aio,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist counterfeit goods ecommerce,ecommerce-ip,perplexity,error,,,browser_blocked
2026-05-13T23:47:32Z,2026-W20,cease and desist counterfeit goods ecommerce,ecommerce-ip,chatgpt,error,,,browser_blocked|auth_required_first_run
2026-05-13T23:47:32Z,2026-W20,cease and desist counterfeit goods ecommerce,ecommerce-ip,claude,error,,,browser_blocked|auth_required_first_run
